ticket_no,user_id,name,state,city,area,category,complaint,status,created_at,updated_at
PG-20260001,collinsjohn@example.org,Catherine Harris,Tamil Nadu,Vellore,Vandalur,Water Supply,Dirty water coming from pipeline,In Progress,2026-04-02 22:48:17,2026-04-06 22:48:17
PG-20260002,rthompson@example.org,Michael Hughes,Tamil Nadu,Vellore,Velachery,Water Supply,Water supply is very low,Resolved,2026-01-11 08:36:19,2026-01-13 08:36:19
PG-20260003,candace53@example.net,Daniel Johnson,Tamil Nadu,Chennai,Perambur,Sanitation,Garbage not cleaned regularly,Resolved,2026-02-21 16:33:53,2026-02-21 16:33:53
PG-20260004,orose@example.com,Paul Lucas,Tamil Nadu,Vellore,Tambaram,Road Damage,Road is completely damaged,In Progress,2026-03-17 20:54:46,2026-03-19 20:54:46
PG-20260005,heatherrichard@example.com,Larry Thomas,Tamil Nadu,Vellore,Adyar,Street Light,Street light is not working in my area,In Progress,2026-03-06 04:14:57,2026-03-06 04:14:57
PG-20260006,melissahall@example.com,Christopher Sandoval,Tamil Nadu,Vellore,Vandalur,Road Damage,Too many potholes on road,Resolved,2026-02-17 13:37:42,2026-02-22 13:37:42
PG-20260007,smithmegan@example.com,Thomas Smith,Tamil Nadu,Chennai,T Nagar,Garbage Issue,Garbage not collected,Pending,2026-04-09 09:13:26,2026-04-14 09:13:26
PG-20260008,hansenjennifer@example.org,Joe Elliott,Tamil Nadu,Vellore,Velachery,Sanitation,Garbage not cleaned regularly,Resolved,2026-02-17 14:02:59,2026-02-19 14:02:59
PG-20260009,phillipsummers@example.net,Anna Oliver,Tamil Nadu,Chennai,Adyar,Street Light,Street light is not working in my area,Pending,2026-02-17 23:14:42,2026-02-20 23:14:42
PG-20260010,salazarjenna@example.org,Kayla Bennett,Tamil Nadu,Vellore,T Nagar,Road Damage,Road repair needed urgently,Pending,2026-02-11 13:25:15,2026-02-12 13:25:15
PG-20260011,annette44@example.com,Jason Kennedy,Tamil Nadu,Vellore,Velachery,Garbage Issue,Garbage lying on road,Pending,2026-01-25 20:01:18,2026-01-25 20:01:18
PG-20260012,williamsrandy@example.org,Laura Russell,Tamil Nadu,Chennai,Perambur,Water Supply,Dirty water coming from pipeline,Resolved,2026-02-01 09:22:46,2026-02-03 09:22:46
PG-20260013,pmartin@example.org,Austin Powell,Tamil Nadu,Chennai,Tambaram,Sanitation,Bad smell due to waste,Pending,2026-01-18 13:39:16,2026-01-23 13:39:16
PG-20260014,robertedwards@example.net,Cynthia Nelson,Tamil Nadu,Chennai,Tambaram,Water Supply,Water leakage in main pipe,Resolved,2026-01-17 19:59:12,2026-01-18 19:59:12
PG-20260015,vramirez@example.com,Alexandria Phillips,Tamil Nadu,Chennai,Adyar,Road Damage,Road repair needed urgently,Resolved,2026-03-11 00:14:28,2026-03-16 00:14:28
PG-20260016,michellehicks@example.com,Brittney Mcdonald DDS,Tamil Nadu,Chennai,Velachery,Garbage Issue,Dustbin overflowing,Resolved,2026-03-26 18:40:06,2026-03-29 18:40:06
PG-20260017,smithjacqueline@example.net,Peggy Owens,Tamil Nadu,Chennai,Tambaram,Street Light,Street light damaged and not repaired,Resolved,2026-04-06 10:32:59,2026-04-10 10:32:59
PG-20260018,lozanoeric@example.com,Lisa Simpson,Tamil Nadu,Chennai,T Nagar,Water Supply,Water leakage in main pipe,In Progress,2026-02-16 09:45:00,2026-02-18 09:45:00
PG-20260019,scott12@example.org,Victor Nixon,Tamil Nadu,Chennai,Adyar,Road Damage,Too many potholes on road,Resolved,2026-02-18 07:18:07,2026-02-22 07:18:07
